increment,specimen,d13C,d18O,measure
1,T020,-10.461,-7.268,28.08
2,T020,-10.565,-7.877,27.21
3,T020,-10.608,-8.67,26.16
4,T020,-10.546,-8.602,24.95
5,T020,-10.554,-9.564,23.88
6,T020,-10.277,-9.192,22.34
7,T020,-10.286,-9.783,21.04
8,T020,-10.287,-9.622,19.81
9,T020,-10.561,-9.091,18.32
10,T020,-10.695,-8.247,17.14
11,T020,-10.976,-6.547,15.9
12,T020,-11.409,-5.158,14.44
13,T020,-11.744,-3.414,13.19
14,T020,-11.996,-1.414,11.7
15,T020,-12.383,-0.921,10.16
16,T020,-12.262,-0.97,8.59
17,T020,-11.979,-2.022,7.07
18,T020,-11.74,-3.131,5.7
19,T020,-11.304,-4.434,4.41
20,T020,-11.129,-5.913,3.08
21,T020,-10.768,-6.902,1.92
